Cidade,Sexo,cor_da_pele,Idade,Escala_1,Escala_2,Escala_5,Escala_8,Escala_10,Escala_11
Maruim,feminino,Branco,17.0,2.77778,1.6250,1.71429,,4.33333,3.2
Maruim,masculino,Preto,17.0,3.66667,3.0625,2.42857,3.50,4.33333,2.4
Maruim,masculino,Pardo,17.0,2.55556,2.1875,1,4.25,2,4.0
Maruim,feminino,,17.0,2.88889,2.1875,1.28571,4.00,,2.4
Maruim,feminino,Pardo,17.0,2.66667,2.1250,1.28571,2.25,1,3.6
Maruim,feminino,Pardo,17.0,2.44444,1.9375,3.85714,3.00,,
Maruim,feminino,Pardo,17.0,1.88889,2.0000,1,1.00,1.83333,4.2
Maruim,masculino,Branco,17.0,3.77778,2.4375,2.28571,4.00,,2.2
Maruim,masculino,Pardo,17.0,3.55556,2.2500,2.71429,2.50,4.16667,4.0
Maruim,masculino,Pardo,17.0,3.66667,2.6250,2.14286,3.50,2.66667,2.2
Maruim,feminino,,17.0,2.66667,,,,,
Maruim,feminino,Pardo,17.0,2.44444,,1,1.00,1,3.2
Maruim,feminino,Branco,17.0,3,3.2500,3,2.75,1,4.0
Maruim,masculino,Pardo,17.0,2.22222,2.0000,1,2.00,1,4.2
Maruim,feminino,Pardo,17.0,2.22222,2.3750,1.28571,3.50,3.66667,5.0
Maruim,feminino,Pardo,17.0,2.33333,2.9375,1.57143,2.25,1.5,4.0
Maruim,feminino,Pardo,17.0,3.22222,2.3750,1,3.00,1,
Maruim,feminino,Pardo,17.0,2.88889,2.3125,1.42857,3.50,1.66667,1.8
Maruim,masculino,Pardo,17.0,2.44444,2.7500,2.42857,4.25,2,2.8
Maruim,feminino,,17.0,,,,,,
Maruim,feminino,Preto,17.0,3.11111,,2.71429,2.00,,
Maruim,feminino,Branco,17.0,3.77778,,2.14286,3.25,1,3.6
Maruim,feminino,Pardo,17.0,2.33333,1.7500,1,3.75,1.16667,3.6
Maruim,feminino,Preto,17.0,2.55556,1.7500,2.14286,1.00,1.16667,1.4
Maruim,feminino,Preto,17.0,3.55556,3.1875,1,2.25,1,3.6
Maruim,masculino,Pardo,17.0,2.11111,1.9375,1,4.50,3.16667,4.0
Maruim,masculino,Branco,17.0,2.44444,,1,5.00,4.16667,1.0
Maruim,masculino,Preto,17.0,4.11111,1.5625,1,1.50,3.66667,4.2
Maruim,masculino,Pardo,17.0,3.11111,2.3125,1.57143,2.25,3.5,3.8
Maruim,masculino,Pardo,17.0,3,1.9375,1,1.00,2.33333,3.4
Canindé,masculino,Branco,17.0,2.11111,2.5000,1.14286,1.00,2.16667,4.2
Canindé,feminino,Pardo,17.0,2.77778,2.0000,1,2.50,1.66667,3.6
Canindé,feminino,Pardo,17.0,2.11111,1.7500,1,3.75,1.66667,3.2
Canindé,feminino,Pardo,17.0,2.22222,2.0000,1.28571,2.75,2.33333,3.8
Canindé,feminino,Pardo,17.0,2.11111,1.6250,1.14286,4.25,1.5,4.4
Canindé,masculino,,17.0,2.22222,2.0625,1.28571,2.50,1.66667,3.6
Canindé,feminino,Branco,17.0,2.22222,,1.14286,3.50,1,3.6
Canindé,feminino,,17.0,2.44444,1.5000,1.57143,4.00,1.33333,2.4
